ID,Year,Averate,TotalrateNO
1,2003,3.7,547
2,2004,3.6,145
3,1997,3.6,2012
4,1994,2.7,142
5,2004,3.9,1140
6,1997,3.1,1019
7,1992,2.1,93
8,2004,3.2,14910
9,1991,2.6,95
10,2001,3.2,249
11,1999,3.0,198
12,1947,3.4,546
13,2003,4.6,125
14,1982,3.0,118
15,1988,3.3,290
16,1996,3.1,2699
17,2005,2.9,7108
18,1994,3.8,10722
19,2000,3.3,539
20,1972,3.1,116
21,2002,3.5,218
22,2000,2.2,203
23,2001,3.6,615
24,1981,3.0,1333
25,1997,4.0,1207
26,2004,2.8,5861
27,1962,3.5,273
28,2002,3.8,39752
29,2001,3.6,523
30,2003,3.8,118413
31,1999,3.1,221
32,2004,4.1,1854
33,2000,4.2,6890
34,2003,2.7,108
35,2000,3.1,839
36,1992,3.0,939
37,1973,4.0,281
38,2003,2.1,802
39,2000,2.4,752
40,2004,2.9,491
41,2000,1.6,93
42,2002,2.3,128
43,2000,2.6,105
44,1996,3.7,8501
45,1999,3.0,2619
46,1964,3.8,6558
47,1952,3.3,2350
48,2001,3.7,3591
49,2003,3.7,231
50,1941,3.0,328
51,2002,3.6,90
52,2002,3.8,5147
53,2003,1.7,114
54,1952,3.0,159
55,1995,3.0,2406
56,2004,3.6,1833
57,1995,3.7,3562
58,1996,3.6,17405
59,2003,2.8,204
60,1969,2.1,295
61,1999,3.0,147
62,1991,3.6,290
63,1943,3.2,184
64,2001,2.4,95
65,2000,2.3,258
66,1989,2.3,166
67,1997,2.6,289
68,2004,4.1,2216
69,2003,3.3,116
70,1999,2.7,343
71,1995,3.8,1561
72,1974,3.1,179
73,1954,3.9,747
74,1999,3.2,388
75,1997,2.6,219
76,1952,4.1,2954
77,1995,2.9,13598
78,1996,2.9,4850
79,1956,3.8,3397
80,1979,2.8,274
81,1991,3.4,1249
82,1951,3.0,119
83,1983,3.7,18724
84,2002,3.2,2752
85,2005,4.3,266
86,1996,2.0,176
87,2002,2.8,117
88,1998,3.8,978
89,2000,2.7,878
90,1951,3.5,625
91,2005,3.9,567
92,2002,3.6,161
93,2004,2.7,174
94,2000,3.7,342
95,1985,2.6,935
96,2000,3.4,488
97,2002,3.9,11508
98,1965,3.9,130
99,1989,2.4,126
100,1993,2.7,78
101,1997,3.4,330
102,2004,2.7,330
103,1976,3.7,209
104,1965,3.7,3500
105,2002,3.1,192
106,2004,4.1,940
107,2000,3.4,829
108,2004,3.2,19018
109,1996,2.7,545
110,1989,3.0,2159
111,2003,3.1,30127
112,1993,3.0,239
113,2000,3.9,1393
114,1989,3.4,428
115,1973,3.5,666
116,2004,3.5,1126
117,1957,3.5,981
118,1985,3.4,19240
119,1999,2.7,96
120,2004,2.4,339
121,2003,3.6,99
122,2002,2.9,3382
123,2000,2.8,276
124,2000,2.3,169
125,1981,3.4,1729
126,2003,3.2,1184
127,1987,2.6,3014
128,1985,3.2,417
129,2003,2.1,756
130,1999,2.2,86
131,2002,2.7,705
132,1981,3.1,830
133,2003,3.7,2563
134,1996,2.1,99
135,1998,4.1,384
136,1927,3.0,120
137,1998,2.4,204
138,1995,3.9,6007
139,2001,2.5,96
140,1993,2.5,119
141,2004,3.0,126
142,2000,2.8,326
143,1997,3.9,38362
144,2000,3.2,289
145,1978,3.1,455
146,1988,2.4,366
147,1992,2.2,131
148,2001,3.3,22194
149,2005,3.0,62
150,2001,2.9,265
151,2005,2.0,176
152,1995,3.9,9162
153,2002,2.7,321
154,2000,2.9,158
155,1975,3.6,980
156,1992,3.5,8179
157,2004,3.4,705
158,2004,2.7,374
159,1971,3.9,164
160,2000,3.0,899
161,1939,3.9,649
162,1968,3.0,474
163,2002,2.4,193
164,2003,2.6,652
165,1982,3.9,4588
166,1980,3.6,9435
167,2004,4.1,9151
168,1983,3.2,1353
169,2004,3.4,335
170,1972,3.2,215
171,1957,3.7,6190
172,2003,3.1,322
173,1968,3.5,2236
174,1968,3.3,191
175,1992,4.0,90450
176,2004,3.3,210
177,2002,2.7,241
178,1996,3.4,1931
179,2003,2.5,286
180,2002,3.8,2418
181,2004,2.6,3558
182,2001,3.1,234
183,2005,3.0,163
184,2004,3.3,399
185,1985,3.1,2297
186,1950,3.4,291
187,2002,3.0,20049
188,2005,2.8,2549
189,1982,3.3,14137
190,1989,2.1,104
191,2003,3.9,98720
192,2003,3.2,275
193,2005,3.0,121
194,1996,3.1,646
195,2004,3.3,185
196,1992,3.5,154
197,2004,3.5,81260
198,1997,3.1,194
199,1978,3.9,35509
200,1964,3.0,129
201,2001,3.4,2724
202,2001,3.1,382
203,1997,3.2,96
204,2002,2.7,230
205,2004,3.3,513
206,2004,3.9,1096
207,2001,2.9,258
208,1947,3.4,2196
209,1996,4.2,4373
210,2001,3.2,687
211,2004,3.6,654
212,1982,2.8,890
213,2001,3.5,3482
214,2002,2.9,124
215,1998,4.1,5817
216,2000,3.2,8895
217,1988,3.0,425
218,1983,3.2,115
219,1995,2.6,111
220,1983,3.3,221
221,2005,3.4,161
222,1998,2.6,99
223,2003,4.2,24125
224,1999,3.8,1086
225,2004,2.7,7395
226,1996,2.4,189
227,2001,3.4,1330
228,1979,2.8,95
229,2003,3.8,652
230,1987,3.1,126
231,2002,2.9,768
232,1989,3.2,4976
233,1971,3.2,418
234,1921,3.0,97
235,1996,3.0,442
236,1998,2.3,125
237,1918,3.4,348
238,1976,3.7,2335
239,2004,3.8,2190
240,1942,3.9,5184
241,1959,4.2,43122
242,1995,3.9,2375
243,1962,3.0,119
244,2004,3.9,105
245,2002,2.8,91
246,1968,3.1,431
247,1994,3.0,653
248,2001,3.6,6161
249,1958,3.2,197
250,1966,3.4,773
251,2000,3.9,1204
252,2002,3.4,24387
253,1935,4.1,5050
254,2003,2.0,190
255,2001,3.1,4586
256,2000,3.4,12264
257,1973,3.9,27357
258,1999,3.0,164
259,2004,3.2,876
260,1967,3.2,205
261,1948,3.7,526
262,1974,3.7,4378
263,2001,4.0,900
264,2002,2.9,134
265,2002,3.2,308
266,2000,3.1,126
267,1994,3.7,1162
268,1980,3.7,5545
269,1989,3.8,21467
270,2001,4.3,36431
271,1943,3.1,478
272,1973,2.9,62
273,2004,3.4,32027
274,2002,2.8,774
275,2002,3.6,10603
276,1998,2.1,115
277,2003,3.4,157
278,1990,2.1,83
279,1984,3.2,737
280,1998,3.4,539
281,1993,3.8,3217
282,2003,3.7,393
283,1996,3.7,6376
284,2005,2.3,97
285,1997,3.3,14008
286,1966,2.9,191
287,1994,3.6,250
288,2004,3.5,1148
289,1998,2.3,4412
290,2004,3.6,47651
291,2000,2.2,108
292,2005,3.9,534
293,2003,3.8,408
294,2002,3.2,462
295,1995,3.3,28954
296,2000,2.9,116
297,2003,2.9,1956
